,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
3666,1964.08.2.a,1960's,Invalid,USA,Florida,Spearfishing / free diving,Undefined,18.0,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,Unknown,Unknown
3667,1964.08.2.a,1960's,Unprovoked,USA,Florida,Swimming,Undefined,0.0,"No injury,  bumped repeatedly",No,
3668,1964.08.0.a,1960's,Unprovoked,USA,Florida,Spearfishing using scuba,Undefined,28.0,"No injury, shark hit scuba tank",No,
3669,1964.08.0.a,1960's,Unprovoked,JAPAN,Okayama Prefecture,Swimming,Undefined,12.0,"Leg bitten, surgically amputated",No,
3670,1964.08.0.a,1960's,Unprovoked,PANAMA,San Blas,Free diving / Spearfishingat edge of reef,Undefined,21.0,Foot lacerated,No,
3671,1964.07.2.a,1960's,Provoked,USA,Puerto Rico,Unknown,Undefined,22.0,Arm lacerated by speared shark PROVOKED INCIDENT,No,Unknown
3672,1964.07.1.a,1960's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Searching for remains of  Dr. Marais,Undefined,30.0,"No injury, shark charged & impaled itself on spear",No,
3673,1964.07.1.a,1960's,Invalid,USA,Connecticut,Unknown,Unknown,0.0,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",Unknown,Unknown
3674,1964.07.1.a,1960's,Invalid,SOUTH AFRICA,KwaZulu-Natal,Spearfishing ,Undefined,52.0,FATAL,Yes,Unknown
3675,1964.07.0.a,1960's,Provoked,USA,Florida,Tagging sharks,Undefined,0.0,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",No,Unknown
3676,1964.07.00.b,1960's,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Standing / fishing,Undefined,0.0,"FATAL, leg severed ",Yes,
3677,1964.07.00.a,1960's,Boat,PAPUA NEW GUINEA,New Ireland Province,canoeing,Unknown,0.0,"No injury to occupant, canoe struck several times by shark ",No,Unknown
3678,1964.06.29.a,1960's,Sea Disaster,BERMUDA,Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),Unknown,0.0,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Yes,Unknown
3679,1964.06.2.a,1960's,Invalid,USA,New York,Attempting to swim across the Atlantic Ocean,Undefined,29.0,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",Unknown,Unknown
3680,1964.06.2.a,1960's,Boat,USA,California,Fishing,Unknown,0.0,"No injury to occupants, shark crashed through windshield of boat",No,Unknown
